studid,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob=at_home,Mjob=health,Mjob=other,Mjob=services,Mjob=teacher,Fjob=teacher,Fjob=other,Fjob=services,Fjob=health,Fjob=at_home,reason=course,reason=other,reason=home,reason=reputation,guardian=mother,guardian=father,guardian=other,traveltime,failures,schoolsup,famsup,nursery,famrel,health,internet,activities,higher,romantic,freetime,goout,Dalc,Walc,absences,studytime,paid,bad_grade
1,0,0,18,0,0,0,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4,3,0,0,0,0,3,4,1,1,4,2,0,1
2,0,0,17,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,5,3,1,0,0,0,3,3,1,1,2,2,0,1
3,0,0,15,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,3,1,0,0,0,3,2,2,3,6,2,0,1
4,0,0,15,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3,5,1,1,0,1,2,2,1,1,0,3,0,0
5,0,0,16,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,4,5,0,0,0,0,3,2,1,2,0,2,0,1
6,0,1,16,0,1,1,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,5,5,1,1,0,0,4,2,1,2,6,2,0,1
7,0,1,16,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4,3,1,0,0,0,4,4,1,1,0,2,0,1
8,0,0,17,0,0,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,4,1,0,0,0,0,1,4,1,1,2,2,0,1
9,0,1,15,0,1,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,1,1,0,0,0,2,2,1,1,0,2,0,0
10,0,1,15,0,0,1,3,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,5,5,1,1,0,0,5,1,1,1,0,2,0,1
11,0,0,15,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,3,2,1,0,0,0,3,3,1,2,2,2,0,0
12,0,0,15,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,1,1,0,5,4,1,1,0,0,2,2,1,1,0,3,0,1
13,0,1,15,0,1,1,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,4,5,1,1,0,0,3,3,1,3,0,1,0,1
14,0,1,15,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,5,3,1,0,0,0,4,3,1,2,0,2,0,1
15,0,1,15,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,4,3,1,0,0,1,5,2,1,1,0,3,0,0
16,0,0,16,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,2,1,0,0,0,4,4,1,2,6,1,0,0
17,0,0,16,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,3,2,1,1,0,0,2,3,1,2,10,3,0,0
18,0,0,16,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,5,4,0,1,0,0,3,2,1,1,2,2,0,0
19,0,1,17,0,0,1,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,1,1,0,5,5,1,1,0,0,5,5,2,4,2,1,1,1
20,0,1,16,0,1,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,3,5,1,1,0,0,1,3,1,3,6,1,0,1
21,0,1,15,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,1,1,0,0,0,4,1,1,1,0,2,0,0
22,0,1,15,0,0,1,4,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,5,5,1,0,0,0,4,2,1,1,0,1,1,1
23,0,1,16,0,1,1,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4,5,1,1,0,0,5,1,1,3,0,2,0,0
24,0,1,16,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,5,5,1,1,0,0,4,4,2,4,2,2,0,1
25,0,0,15,1,0,1,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,4,5,1,1,0,0,3,2,1,1,2,3,0,1
26,0,0,16,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,5,1,0,0,0,2,2,1,3,6,1,0,1
27,0,1,15,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,1,0,0,0,2,2,1,2,8,1,0,1
28,0,1,15,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,1,1,0,0,0,2,4,2,4,0,1,0,1
29,0,1,16,0,1,0,3,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,5,5,1,1,0,0,3,3,1,1,2,2,1,1
30,0,1,16,0,0,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,1,1,0,1,4,5,5,5,4,2,1,1
31,0,1,15,0,0,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,5,5,1,0,0,0,4,2,3,4,0,2,1,1
32,0,1,15,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,0,4,5,1,1,0,0,3,1,1,1,2,2,0,0
33,0,1,15,1,0,1,4,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,4,5,1,1,0,1,5,2,1,1,0,2,0,0
34,0,1,15,0,1,1,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,5,2,1,1,0,0,3,2,1,1,0,2,0,1
35,0,1,16,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,5,5,1,0,0,0,4,3,1,1,4,1,0,1
36,0,0,15,0,0,1,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,3,5,0,1,0,0,5,1,1,1,4,1,0,1
37,0,1,15,0,1,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,5,4,1,1,0,0,4,3,1,1,0,3,0,0
38,0,1,16,1,0,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,2,5,1,1,0,1,4,3,1,1,4,3,0,1
39,0,0,15,1,0,1,3,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,4,5,1,1,0,0,3,2,1,1,2,3,0,1
40,0,0,15,1,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,4,2,0,1,0,0,3,1,1,1,8,1,0,1
41,0,0,16,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,1,1,3,3,1,1,0,1,3,3,1,2,16,2,0,1
42,0,1,15,0,1,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,5,5,1,0,0,1,4,3,2,4,8,1,0,1
43,0,1,15,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,4,5,1,1,0,0,3,3,1,1,0,2,0,0
44,0,1,15,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,5,1,1,0,0,0,4,1,1,1,0,1,0,1
45,0,0,16,0,1,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,4,5,1,1,0,0,3,3,2,2,14,2,0,1
46,0,0,15,0,1,0,4,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,5,5,1,1,0,1,2,2,1,1,4,2,1,1
47,0,0,16,0,1,0,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,3,1,0,0,0,3,5,1,4,6,2,0,1
48,0,1,16,0,0,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,2,1,1,0,0,2,2,1,1,2,4,0,0
49,0,1,15,0,0,1,4,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,0,0,0,0,3,3,2,2,4,2,0,1
50,0,0,15,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,4,3,1,1,0,0,4,4,1,1,2,2,0,1
51,0,0,16,0,1,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,1,1,0,4,4,1,0,0,0,3,3,2,3,0,2,0,1
52,0,0,15,0,1,1,4,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,4,5,1,0,0,0,3,3,1,1,0,2,0,0
53,0,1,15,0,1,0,4,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,5,5,0,0,0,0,5,5,3,4,4,1,0,1
54,0,0,15,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,5,1,0,0,0,3,4,2,3,0,1,0,1
55,0,0,15,0,1,0,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,5,1,1,0,0,0,3,4,4,4,0,1,0,1
56,0,0,16,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,5,2,1,1,0,1,3,4,1,1,2,2,0,1
57,0,0,15,0,0,0,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,4,1,1,1,0,0,3,2,1,1,0,2,0,0
58,0,1,15,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,3,5,0,1,0,0,2,2,1,1,8,2,0,0
59,0,1,15,0,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,4,5,1,1,0,0,3,2,1,1,0,2,0,0
60,0,0,16,0,0,1,4,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,5,1,0,0,0,2,3,1,1,2,2,1,0
61,0,0,16,1,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,2,4,0,1,0,0,4,4,2,3,0,2,0,0
62,0,0,16,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0,0,1,1,5,5,1,1,0,1,5,5,5,5,0,1,0,0
63,0,0,16,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,1,1,1,0,0,4,3,1,1,0,2,0,1
64,0,0,16,0,0,1,4,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,3,4,1,1,0,0,4,4,2,4,0,3,0,1
65,0,0,15,0,1,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,2,1,1,0,1,4,4,2,4,0,2,0,1
66,0,0,16,0,1,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3,0,1,1,0,5,1,1,1,0,0,4,3,1,2,2,2,0,0
67,0,1,15,0,0,0,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,3,1,1,0,1,3,3,5,5,0,4,0,1
68,0,0,16,0,0,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,4,5,1,0,0,0,3,3,1,2,0,4,0,1
69,0,0,15,1,1,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,4,4,1,0,0,0,1,3,1,3,0,2,0,1
70,0,0,15,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,4,3,1,0,0,0,4,2,2,3,6,4,0,0
71,0,1,16,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,4,5,1,0,0,0,3,2,1,1,2,4,0,1
72,0,1,15,0,0,1,4,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,3,3,1,0,0,0,3,3,1,1,0,4,0,1
73,0,0,15,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,3,5,1,0,0,1,3,4,2,4,2,2,0,1
74,0,1,16,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,5,5,0,1,0,0,3,2,2,2,0,1,0,0
75,0,0,16,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,4,5,1,1,0,0,3,3,2,4,4,2,0,1
76,0,1,15,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,1,1,0,0,3,3,2,3,0,2,0,1
77,0,1,15,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,3,1,1,1,0,0,4,3,1,1,0,4,0,1
78,0,0,16,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,5,3,1,0,0,1,2,3,1,3,1,4,0,1
79,0,1,17,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,3,0,1,0,4,3,1,1,1,0,5,1,1,1,0,1,0,1
80,0,0,16,0,0,1,3,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,2,3,1,0,0,0,4,3,1,2,14,2,0,1
81,0,1,15,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,3,3,1,1,0,1,2,2,1,3,0,1,0,1
82,0,1,15,0,0,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,5,5,1,0,0,0,3,2,1,2,2,3,0,1
83,0,0,15,0,1,1,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,4,5,1,0,0,0,4,4,1,1,4,2,0,1
84,0,1,15,0,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,5,4,1,1,0,0,3,3,1,3,2,2,1,1
85,0,0,15,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,4,4,1,1,0,0,3,2,2,3,2,2,0,1
86,0,0,15,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,4,5,1,0,0,1,4,4,2,3,4,2,0,1
87,0,0,16,0,1,1,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,2,0,0,0,0,3,4,1,2,6,2,0,1
88,0,0,15,0,0,1,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,5,1,1,1,0,0,3,3,1,3,4,3,0,0
89,0,1,16,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,4,3,1,1,0,0,4,2,1,1,6,2,0,1
90,0,1,16,0,1,0,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,4,5,0,0,0,0,1,3,3,5,6,2,0,1
91,0,0,16,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,4,1,0,0,1,3,3,1,3,2,3,0,1
92,0,0,15,0,0,1,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,1,1,1,0,0,5,5,1,3,6,1,0,1
93,0,0,16,0,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,2,0,0,0,0,3,3,2,3,0,2,0,1
94,0,0,16,0,0,1,4,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0,1,1,0,5,1,1,1,0,0,3,3,1,1,2,2,0,0
95,0,1,15,0,1,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,4,4,1,1,0,0,3,4,1,1,2,4,0,1
96,0,0,15,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,1,1,0,0,1,2,1,1,4,4,1,1
97,0,1,16,1,0,1,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,3,4,1,1,0,0,3,3,1,1,6,1,1,1
98,0,0,16,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,5,0,0,0,1,3,5,1,1,0,2,0,1
99,0,0,16,0,0,1,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,5,1,1,1,0,0,3,4,1,2,4,1,0,1
100,0,0,16,0,0,1,4,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,5,3,1,0,0,0,3,5,1,1,2,3,0,1
101,0,1,16,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,4,1,1,0,0,5,5,5,5,12,1,0,1
102,0,1,16,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,4,4,1,1,0,1,4,3,1,1,0,3,0,0
103,0,1,15,0,0,1,4,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,5,5,1,1,0,0,3,3,1,1,2,1,1,1
104,0,0,15,0,0,1,3,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,4,2,1,0,0,0,3,5,1,1,16,2,0,1
105,0,1,15,0,0,0,3,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,5,1,1,1,0,0,4,4,1,1,0,2,0,0
106,0,0,15,0,0,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,4,4,0,0,0,0,3,3,1,1,10,4,0,1
107,0,0,15,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,5,3,1,0,0,0,1,2,1,1,4,4,0,1
108,0,1,16,0,0,1,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,5,5,1,1,0,0,3,3,1,1,4,3,0,0
109,0,1,15,1,0,1,4,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,1,1,0,1,1,1,1,0,1,3,5,3,5,8,4,0,1
110,0,0,16,0,1,1,4,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,5,4,1,1,0,1,4,5,1,1,2,3,0,0
111,0,1,15,0,1,0,4,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,5,4,1,1,0,0,5,3,1,1,4,1,0,0
112,0,0,16,1,0,1,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,4,2,1,1,0,0,1,2,1,1,4,3,0,1
113,0,0,16,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,3,5,1,1,0,0,1,2,1,1,12,2,0,1
114,0,1,15,0,1,1,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,3,3,1,0,0,0,5,2,1,1,10,1,0,0
115,0,1,15,1,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,5,5,1,1,0,1,4,2,1,1,4,2,0,1
116,0,1,16,0,0,1,4,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,5,5,1,1,0,0,4,4,1,2,6,2,0,0
117,0,1,15,0,0,1,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,4,2,0,1,0,0,4,3,1,1,4,2,0,0
118,0,1,16,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,1,0,0,5,5,1,1,0,0,4,2,1,1,6,1,0,0
119,0,1,17,1,0,1,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,1,1,1,0,5,5,1,1,0,0,2,4,1,4,14,2,0,1
120,0,1,15,0,0,1,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3,4,1,0,0,0,4,3,1,2,2,1,0,0
121,0,0,15,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,3,1,1,0,0,0,2,3,1,2,0,2,0,0
122,0,1,15,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,5,5,1,1,0,0,5,4,1,2,6,4,0,1
123,0,0,16,0,1,1,2,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,1,1,0,4,5,1,1,0,1,2,2,1,2,2,2,0,1
124,0,1,16,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,3,5,1,1,0,0,4,4,1,4,4,1,0,1
125,0,0,16,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,5,5,1,0,0,1,4,4,1,1,0,2,0,1
126,0,1,15,0,0,1,3,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,5,1,0,0,0,5,5,3,2,2,1,0,1
127,0,0,15,0,1,0,3,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,1,1,1,0,1,3,2,1,1,0,2,0,1
